Fecha,real,forecast
2017-08-06,368.986331747576,475.8862465013193
2017-08-13,426.8548593696673,436.7523891533921
2017-08-20,360.7440607625624,531.9217056937869
2017-08-27,573.1170890462331,524.3536201166665
2017-09-03,528.483583827182,740.2944274632789
2017-09-10,992.416815422656,1121.6177470910845
2017-09-17,1502.1107293369794,1336.0479138026458
2017-09-24,2157.3052667793563,1767.491007777721
2017-10-01,2760.1283805337944,2630.1412615874374
2017-10-08,3624.2974903793684,3299.917182048336
2017-10-15,4543.897988171793,4713.149921951046
2017-10-22,4410.820007155033,5184.077315875675
2017-10-29,5763.669471048415,6312.368817923131
2017-11-05,6585.2394103205215,5359.705986405057
2017-11-12,5854.804955237535,6289.954533659065
2017-11-19,6232.764699872697,4952.690469712362
2017-11-26,6256.438803884683,6555.804576125115
2017-12-03,5169.647139454567,5373.388224392124
2017-12-10,4567.660100005384,5306.1959449901615
2017-12-17,4963.197714548216,3954.086974806905
2017-12-24,4486.043000214564,4555.1770328905595
2017-12-31,5317.628906568662,4225.6442004986075
2018-01-07,4532.460356279242,6143.897426572265
2018-01-14,5376.543373301378,4825.163972736656
2018-01-21,5312.470294256072,5637.371079665113
2018-01-28,5962.479140056132,4700.107266949449
2018-02-04,4898.918155613756,5857.687397345662
2018-02-11,5007.401335407884,6538.254601802831
2018-02-18,6195.980815357648,5827.893566139187
2018-02-25,5608.934796084173,6446.36057529862
2018-03-04,6375.598009422848,5917.519885570727
2018-03-11,5735.913158080403,6416.279457252792
2018-03-18,5374.261939772056,7149.954111159282
2018-03-25,5544.5198405010915,5515.295686532681
2018-04-01,6538.903292245017,6275.936851545356
2018-04-08,7124.256853410685,6215.10876949008
2018-04-15,5685.708080770454,6246.986601558826
2018-04-22,6919.462652533767,6010.569222522075
2018-04-29,5574.104008225533,5376.5374709415355
2018-05-06,5876.664744157954,5002.436703853818
2018-05-13,6392.106245806384,5385.0988992576695
2018-05-20,6003.412931851519,6100.620500809826
2018-05-27,5607.922706135706,5851.715007167132
2018-06-03,4808.270099359685,4884.218086213617
2018-06-10,3332.070903653211,3832.518287159113
2018-06-17,2185.1732819824842,2658.3855951368937
2018-06-24,1982.1629319511944,1733.719753602475
2018-07-01,1871.4287828736853,1331.6069236195049
2018-07-08,1169.3463860126606,1374.2657226684014
2018-07-15,765.1569256227266,1341.4730341639079
2018-07-22,525.6300994574217,1083.0288559464964
2018-07-29,533.6862000505766,566.862970850736
2018-08-05,427.0477995939572,498.89825753100007
2018-08-12,196.96827458642358,333.074354734706
