Fecha,real,forecast
2017-08-20,360.7440607625624,608.9603672235434
2017-08-27,573.1170890462331,650.5679693870723
2017-09-03,528.483583827182,816.9109403390462
2017-09-10,992.416815422656,1238.0638176575942
2017-09-17,1502.1107293369794,1562.8890079251737
2017-09-24,2157.3052667793563,1734.9714580035986
2017-10-01,2760.1283805337944,2250.3185849995716
2017-10-08,3624.2974903793684,2957.735970867051
2017-10-15,4543.897988171793,4402.767589045918
2017-10-22,4410.820007155033,5094.51262389346
2017-10-29,5763.669471048415,6960.588768044255
2017-11-05,6585.2394103205215,6243.9856253784565
2017-11-12,5854.804955237535,5796.024796910071
2017-11-19,6232.764699872697,4475.563948161714
2017-11-26,6256.438803884683,5968.162550166043
2017-12-03,5169.647139454567,4787.487351364134
2017-12-10,4567.660100005384,5623.696290633571
2017-12-17,4963.197714548216,4571.705194714191
2017-12-24,4486.043000214564,4348.840620987233
2017-12-31,5317.628906568662,3670.1776637859075
2018-01-07,4532.460356279242,5475.512448465652
2018-01-14,5376.543373301378,5171.259718910516
2018-01-21,5312.470294256072,6215.800383384478
2018-01-28,5962.479140056132,4584.53003356291
2018-02-04,4898.918155613756,5292.952093693045
2018-02-11,5007.401335407884,6401.162456553946
2018-02-18,6195.980815357648,7242.107531681014
2018-02-25,5608.934796084173,7062.085574426486
2018-03-04,6375.598009422848,6204.173459411309
2018-03-11,5735.913158080403,6601.436121139095
2018-03-18,5374.261939772056,7295.573252583643
2018-03-25,5544.5198405010915,6923.51394678268
2018-04-01,6538.903292245017,7237.687777759158
2018-04-08,7124.256853410685,6040.111033937373
2018-04-15,5685.708080770454,5540.430054889623
2018-04-22,6919.462652533767,5822.018678041455
2018-04-29,5574.104008225533,5162.431280920372
2018-05-06,5876.664744157954,4392.872196207853
2018-05-13,6392.106245806384,4764.219637023447
2018-05-20,6003.412931851519,5022.453926541799
2018-05-27,5607.922706135706,5358.158480426189
2018-06-03,4808.270099359685,5083.76865662935
2018-06-10,3332.070903653211,4011.7533756036114
2018-06-17,2185.1732819824842,3000.3866423604813
2018-06-24,1982.1629319511944,2292.8576966763403
2018-07-01,1871.4287828736853,1441.3159331776624
2018-07-08,1169.3463860126606,915.1862208680247
2018-07-15,765.1569256227266,1170.8662781384824
2018-07-22,525.6300994574217,1539.1979359533411
2018-07-29,533.6862000505766,1216.2019563422623
2018-08-05,427.0477995939572,823.434831676016
2018-08-12,196.96827458642358,394.78856957273155
