Fecha,PesoNeto,PesoProm,risk_daysThIn,risk_daysThOut,sab_hol1,sab_y_otros_hol1,sab_hol2,sab_y_otros_hol2,lun_hol1,lun_y_otros_hol1,otros_hol1,lun_hol2,lun_y_otros_hol2,otros_hol2,clientes-1,clientes-2,clientes-3,clientes-4,clientes-5,retornables-1,retornables-2,retornables-3,retornables-4,retornables-5,helada-0,helada-1,helada-2,cult-1,cult-2,cult-3,cult-4,cult-5,cult-6,cult-7,cult-8,cult-9,cult-10,cult-11,cult-12,cult_primer-1,cult_primer-2,cult_primer-3,cult_primer-4,cult_primer-5,cult_primer-6,cult_primer-7,cult_primer-8,cult_primer-9,cult_primer-10,cult_primer-11,cult_primer-12,plantada-1,plantada-2,plantada-3,plantada-4,plantada-5,plantada-6,plantada-7,plantada-8,plantada-9,plantada-10,plantada-11,plantada-12,plantada_primer-1,plantada_primer-2,plantada_primer-3,plantada_primer-4,plantada_primer-5,plantada_primer-6,plantada_primer-7,plantada_primer-8,plantada_primer-9,plantada_primer-10,plantada_primer-11,plantada_primer-12,H1accum_3-5,H1accum_3-6,H1accum_3-7,H1accum_3-8,H1accum_tot-1,H1accum_tot-2,H1accum_tot-3,H1accum_tot-4,H1accum_tot-5,H1accum_tot-6,H2accum_3-6,H2accum_3-7,H2accum_3-8,H2accum_3-9,H2accum_tot-2,H2accum_tot-3,H2accum_tot-4,H2accum_tot-5,H2accum_tot-6,H2accum_tot-7,H3accum_3-7,H3accum_3-8,H3accum_3-9,H3accum_3-10,H3accum_tot-3,H3accum_tot-4,H3accum_tot-5,H3accum_tot-6,H3accum_tot-7,H3accum_tot-8,trend-1,prod-1,prod-2,prod-3,prod-4,prod-5,prec-1,prec-2,pepiPeso-1,pepiPeso-2,pepiPeso-3,pepiPeso-4,pepiPeso-5,week,year,month
2014-09-07,17.940055942740074,825.5494724362586,0.020309497293668006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12185698376200803,6.8172212582412275,0.030464245940502007
2014-09-14,151.05865595408702,1107.3651851886013,0.016924581078056673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023694413509279342,,,,,0.8394592214716109,,,,,0.0,0.0,0.0,92766.11680224708,,,,,,,,,,,,603.1920696219398,,,,,,,,,,,,1085.5730945924954,,,,,,,,,,,,206.14139753073027,,,,,,,,,,,,,,,,17.940055942740074,,,,,,,,,,,,,,,,,,,,,,,,,,3030.9109172069225,17.940055942740074,,,,,0.002713140535897701,,136.0262430405571,,,,,0.12524189997761936,6.8172212582412275,0.030464245940502007
2014-09-21,466.28913328153936,1759.99734105576,0.0033849162156113343,0.0033849162156113343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1083173188995627,0.023694413509279342,,,,6.624281033951381,0.8394592214716109,,,,0.0,0.0,0.0,116697.32551030575,92766.11680224708,,,,,,,,,,,4483.152281766432,603.1920696219398,,,,,,,,,,,1252.104202568142,1085.5730945924954,,,,,,,,,,,896.4950597046619,206.14139753073027,,,,,,,,,,,,,,,83.87822382284887,84.02039030390455,,,,,,,,,17.940055942740074,,,,,,,,,,,,,,,,3037.5004909258396,151.05865595408702,17.940055942740074,,,,0.001563772930988028,0.002713140535897701,615.008812130639,136.0262430405571,,,,0.12862681619323071,6.8172212582412275,0.030464245940502007
2014-09-28,1216.7419828636503,2372.115434738267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24032905130840473,0.1083173188995627,0.023694413509279342,,,10.496625184610748,6.624281033951381,0.8394592214716109,,,0.0,0.0,0.0,129785.198835621,116697.32551030575,92766.11680224708,,,,,,,,,,12965.620306356028,4483.152281766432,603.1920696219398,,,,,,,,,,2176.0272383679026,1252.104202568142,1085.5730945924954,,,,,,,,,,1132.8806836218794,896.4950597046619,206.14139753073027,,,,,,,,,,,,,,238.7009066086957,262.500252520659,115.82506306578864,,,,,,,,83.87822382284887,84.02039030390455,,,,,,,,,17.940055942740074,,,,,,3044.090064644757,466.28913328153936,151.05865595408702,17.940055942740074,,,0.0016292954032364434,0.001563772930988028,1390.6251288596045,615.008812130639,136.0262430405571,,,0.13201173240884204,6.8172212582412275,0.030464245940502007
2014-10-05,1694.0862525053765,2984.9759533773986,0.013539664862445337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39942011344213746,0.24032905130840473,0.1083173188995627,0.023694413509279342,,61.266983502565154,10.496625184610748,6.624281033951381,0.8394592214716109,,0.0,0.0,0.0,139174.78040208362,129785.198835621,116697.32551030575,92766.11680224708,,,,,,,,,22208.02233084766,12965.620306356028,4483.152281766432,603.1920696219398,,,,,,,,,1100.774753316806,2176.0272383679026,1252.104202568142,1085.5730945924954,,,,,,,,,1276.3503574205658,1132.8806836218794,896.4950597046619,206.14139753073027,,,,,,,,,,,,,385.2813184095289,742.3222808322125,514.1383089054212,174.60074823366386,,,,,,,238.7009066086957,262.500252520659,115.82506306578864,,,,,,,,83.87822382284887,84.02039030390455,,,,,3050.6796383636747,1216.7419828636503,466.28913328153936,151.05865595408702,17.940055942740074,,0.0016162810587656052,0.0016292954032364434,2396.4089784177095,1390.6251288596045,615.008812130639,136.0262430405571,,0.1353966486244534,6.8172212582412275,0.03384916215611335
2014-10-12,2610.7046391118474,3580.6749468033804,0.0033849162156113343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5280469296353681,0.39942011344213746,0.24032905130840473,0.1083173188995627,0.023694413509279342,80.24282380728229,61.266983502565154,10.496625184610748,6.624281033951381,0.8394592214716109,0.0,0.0,0.0,145610.41667042277,139174.78040208362,129785.198835621,116697.32551030575,92766.11680224708,,,,,,,,29655.078334243906,22208.02233084766,12965.620306356028,4483.152281766432,603.1920696219398,,,,,,,,1117.983667356974,1100.774753316806,2176.0272383679026,1252.104202568142,1085.5730945924954,,,,,,,,1568.4144681683742,1276.3503574205658,1132.8806836218794,896.4950597046619,206.14139753073027,,,,,,,,236.9407501765778,,,,379.6115837483799,832.8180158565815,1218.0993342661104,804.6284336129703,236.9407501765778,,,,,,385.2813184095289,742.3222808322125,514.1383089054212,174.60074823366386,,,,,,,238.7009066086957,262.500252520659,115.82506306578864,,,,3057.269212082592,1694.0862525053765,1216.7419828636503,466.28913328153936,151.05865595408702,17.940055942740074,0.003060494426512685,0.0016162810587656052,3203.5422500302325,2396.4089784177095,1390.6251288596045,615.008812130639,136.0262430405571,0.1387815648400647,6.8172212582412275,0.03384916215611335
2014-10-19,3080.402383022508,4507.204368089162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6295944161037083,0.5280469296353681,0.39942011344213746,0.24032905130840473,0.1083173188995627,76.87483217274902,80.24282380728229,61.266983502565154,10.496625184610748,6.624281033951381,0.0,0.0,0.0,149733.2683154509,145610.41667042277,139174.78040208362,129785.198835621,116697.32551030575,92766.11680224708,,,,,,,39475.62743327817,29655.078334243906,22208.02233084766,12965.620306356028,4483.152281766432,603.1920696219398,,,,,,,655.5397988963691,1117.983667356974,1100.774753316806,2176.0272383679026,1252.104202568142,1085.5730945924954,,,,,,,1287.1076211537786,1568.4144681683742,1276.3503574205658,1132.8806836218794,896.4950597046619,206.14139753073027,,,,,,,1183.9082955722204,236.9407501765778,,,262.2463838044881,1048.8433687368968,1329.7338710569722,1875.1115717162702,1183.9082955722204,292.94080404765174,236.9407501765778,,,,379.6115837483799,832.8180158565815,1218.0993342661104,804.6284336129703,236.9407501765778,,,,,,385.2813184095289,742.3222808322125,514.1383089054212,174.60074823366386,,,3063.8587858015094,2610.7046391118474,1694.0862525053765,1216.7419828636503,466.28913328153936,151.05865595408702,0.0028656392961709624,0.003060494426512685,4807.014295443693,3203.5422500302325,2396.4089784177095,1390.6251288596045,615.008812130639,0.14216648105567603,6.8172212582412275,0.03384916215611335
2014-10-26,3518.1465178577964,4505.897790429936,0.0033849162156113343,0.0033849162156113343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142173214939915,0.6295944161037083,0.5280469296353681,0.39942011344213746,0.24032905130840473,99.02233897149398,76.87483217274902,80.24282380728229,61.266983502565154,10.496625184610748,0.0,0.0,0.0,153326.47535038987,149733.2683154509,145610.41667042277,139174.78040208362,129785.198835621,116697.32551030575,92766.11680224708,,,,,,47240.87571569053,39475.62743327817,29655.078334243906,22208.02233084766,12965.620306356028,4483.152281766432,603.1920696219398,,,,,,768.0611837357211,655.5397988963691,1117.983667356974,1100.774753316806,2176.0272383679026,1252.104202568142,1085.5730945924954,,,,,,1299.3136290272732,1287.1076211537786,1568.4144681683742,1276.3503574205658,1132.8806836218794,896.4950597046619,206.14139753073027,,,,,,2606.9270726152254,1140.7269194096666,236.9407501765778,,355.4568216337775,597.6611165256309,1440.5154089615,1827.9766134138824,2606.9270726152254,1576.0576089832246,1183.9082955722204,236.9407501765778,,,262.2463838044881,1048.8433687368968,1329.7338710569722,1875.1115717162702,1183.9082955722204,292.94080404765174,236.9407501765778,,,,379.6115837483799,832.8180158565815,1218.0993342661104,804.6284336129703,236.9407501765778,,3070.448359520428,3080.402383022508,2610.7046391118474,1694.0862525053765,1216.7419828636503,466.28913328153936,0.0018887832483111178,0.0028656392961709624,5548.646053367921,4807.014295443693,3203.5422500302325,2396.4089784177095,1390.6251288596045,0.14555139727128738,6.8172212582412275,0.03384916215611335
2014-11-02,3842.956308075429,4509.7340288076275,0.0,0.0,0.0,0.0,0.0033849162156113343,0.0033849162156113343,0.0,0.0,0.0,0.0,0.0,0.0,0.7683759809437729,0.7142173214939915,0.6295944161037083,0.5280469296353681,0.39942011344213746,76.84775284302413,99.02233897149398,76.87483217274902,80.24282380728229,61.266983502565154,0.0,0.0,0.0,161324.06428184177,153326.47535038987,149733.2683154509,145610.41667042277,139174.78040208362,129785.198835621,116697.32551030575,92766.11680224708,,,,,53582.99013390855,47240.87571569053,39475.62743327817,29655.078334243906,22208.02233084766,12965.620306356028,4483.152281766432,603.1920696219398,,,,,1155.22451556113,768.0611837357211,655.5397988963691,1117.983667356974,1100.774753316806,2176.0272383679026,1252.104202568142,1085.5730945924954,,,,,949.1305068574181,1299.3136290272732,1287.1076211537786,1568.4144681683742,1276.3503574205658,1132.8806836218794,896.4950597046619,206.14139753073027,,,,,2269.217366699898,2492.940019054514,1121.4362818968975,236.9407501765778,239.75700046796644,826.7590158306372,1019.7229345339925,1942.4646345745048,2269.217366699898,3393.331117323344,2606.9270726152254,1140.7269194096666,236.9407501765778,,355.4568216337775,597.6611165256309,1440.5154089615,1827.9766134138824,2606.9270726152254,1576.0576089832246,1183.9082955722204,236.9407501765778,,,262.2463838044881,1048.8433687368968,1329.7338710569722,1875.1115717162702,1183.9082955722204,292.94080404765174,3077.037933239345,3518.1465178577964,3080.402383022508,2610.7046391118474,1694.0862525053765,1216.7419828636503,0.0009894634379240407,0.0018887832483111178,7449.526992233641,5548.646053367921,4807.014295443693,3203.5422500302325,2396.4089784177095,0.1489363134868987,6.8172212582412275,0.037234078371724676
2014-11-09,3587.137880164387,4252.613536458979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8225346403935543,0.7683759809437729,0.7142173214939915,0.6295944161037083,0.5280469296353681,88.94882831383465,76.84775284302413,99.02233897149398,76.87483217274902,80.24282380728229,0.0,0.0,0.0,164231.56514457086,161324.06428184177,153326.47535038987,149733.2683154509,145610.41667042277,139174.78040208362,129785.198835621,116697.32551030575,92766.11680224708,,,,59285.35200245981,53582.99013390855,47240.87571569053,39475.62743327817,29655.078334243906,22208.02233084766,12965.620306356028,4483.152281766432,603.1920696219398,,,,864.1318757672019,1155.22451556113,768.0611837357211,655.5397988963691,1117.983667356974,1100.774753316806,2176.0272383679026,1252.104202568142,1085.5730945924954,,,,733.172852301415,949.1305068574181,1299.3136290272732,1287.1076211537786,1568.4144681683742,1276.3503574205658,1132.8806836218794,896.4950597046619,206.14139753073027,,,,2231.726034695787,2128.4556258737007,2305.3716567988427,1077.7437833857864,269.4901045058964,594.3811327127034,1313.5776659598594,1359.1657175517128,2231.726034695787,2531.6871549746165,2269.217366699898,2492.940019054514,1121.4362818968975,236.9407501765778,239.75700046796644,826.7590158306372,1019.7229345339925,1942.4646345745048,2269.217366699898,3393.331117323344,2606.9270726152254,1140.7269194096666,236.9407501765778,,355.4568216337775,597.6611165256309,1440.5154089615,1827.9766134138824,2606.9270726152254,1576.0576089832246,3083.6275069582625,3842.956308075429,3518.1465178577964,3080.402383022508,2610.7046391118474,1694.0862525053765,0.0009612033746931,0.0009894634379240407,7286.137086506082,7449.526992233641,5548.646053367921,4807.014295443693,3203.5422500302325,0.15232122970251005,6.8172212582412275,0.037234078371724676
